rl-master  | 2025-12-07 23:16:39,890 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:40,091 | INFO | Replication attempt 46 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:40,102 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:40,308 | INFO | Replication attempt 47 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:40,317 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:40,522 | INFO | Replication attempt 48 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:40,531 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:40,737 | INFO | Replication attempt 49 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:40,747 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:40,948 | INFO | Replication attempt 50 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:40,956 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:41,158 | INFO | Replication attempt 51 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:41,164 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:41,366 | INFO | Replication attempt 52 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:41,373 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:41,577 | INFO | Replication attempt 53 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:41,584 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:41,676 | INFO | Appended locally seq=4 msg=Msg4 w=1
rl-master  | 2025-12-07 23:16:41,676 | INFO | POST /messages completed w=1, acks=0 in 0 ms
rl-master  | 2025-12-07 23:16:41,676 | INFO | 192.168.65.1 - - [07/Dec/2025 23:16:41] "[35m[1mPOST /messages HTTP/1.1[0m" 201 -
rl-master  | 2025-12-07 23:16:41,700 | INFO | Replication attempt 1 to http://secondary1:8001 for seq=4
rl-master  | 2025-12-07 23:16:41,788 | INFO | Replication attempt 54 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:41,794 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:42,000 | INFO | Replication attempt 55 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:42,005 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:42,210 | INFO | Replication attempt 56 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:42,216 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:42,422 | INFO | Replication attempt 57 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:42,429 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:42,631 | INFO | Replication attempt 58 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:42,634 | WARNING | Replication to http://secondary2:8001 failed for seq=1: HTTPConnectionPool(host='secondary2', port=8001): Max retries exceeded with url: /replicate (Caused by NameResolutionError("HTTPConnection(host='secondary2', port=8001): Failed to resolve 'secondary2' ([Errno -2] Name or service not known)"))
rl-master  | 2025-12-07 23:16:42,840 | INFO | Replication attempt 59 to http://secondary2:8001 for seq=1
rl-master  | 2025-12-07 23:16:43,651 | INFO | 127.0.0.1 - - [07/Dec/2025 23:16:43] "GET /health HTTP/1.1" 200 -
rl-master  | 2025-12-07 23:16:43,713 | INFO | Heartbeat OK for http://secondary2:8001: unhealthy -> healthy (recovered)
rl-master  | 2025-12-07 23:16:44,348 | INFO | Replication attempt 1 to http://secondary2:8001 for seq=2
rl-master  | 2025-12-07 23:16:46,062 | INFO | Replication attempt 2 to http://secondary2:8001 for seq=2
rl-master  | 2025-12-07 23:16:47,568 | INFO | Replication attempt 1 to http://secondary2:8001 for seq=3
